法律名称,法律性质,发布时间,时效性,编,章,节,条,款,项,内容
全国人民代表大会常务委员会关于在沿海港口城市设立海事法院的决定,法律法规,1984年11月14日,有效,,,,一,,,"根据需要在沿海一定的港口城市设立海事法院。
　　海事法院的设置或者变更、撤销，由最高人民法院决定。
　　海事法院的审判机构和办事机构的设置，由最高人民法院规定。
　　"
全国人民代表大会常务委员会关于在沿海港口城市设立海事法院的决定,法律法规,1984年11月14日,有效,,,,二,,,"海事法院对所在地的市人民代表大会常务委员会负责。
　　海事法院的审判工作受所在地的高级人民法院监督。
　　"
全国人民代表大会常务委员会关于在沿海港口城市设立海事法院的决定,法律法规,1984年11月14日,有效,,,,三,,,"海事法院管辖第一审海事案件和海商案件，不受理刑事案件和其他民事案件。
　　各海事法院管辖区域的划分，由最高人民法院规定。
　　对海事法院的判决和裁定的上诉案件由海事法院所在地的高级人民法院管辖。
　　"
全国人民代表大会常务委员会关于在沿海港口城市设立海事法院的决定,法律法规,1984年11月14日,有效,,,,四,,,"海事法院院长由所在地的市人民代表大会常务委员会主任提请本级人民代表大会常务委员会任免。
　　海事法院副院长、庭长、副庭长、审判员和审判委员会委员，由海事法院院长提请所在地的市人民代表大会常务委员会任免。"
