法律名称,法律性质,发布时间,时效性,编,章,节,条,款,项,内容
全国人民代表大会常务委员会关于《中华人民共和国香港特别行政区基本法》第二十二条第四款和第二十四条第二款第（三）项的解释,法律法规,1999年6月26日,有效,,,,一,,,"《中华人民共和国香港特别行政区基本法》第二十二条第四款关于“中国其他地区的人进入香港特别行政区须办理批准手续”的规定，是指各省、自治区、直辖市的人，包括香港永久性居民在内地所生的中国籍子女，不论以何种事由要求进入香港特别行政区，均须依照国家有关法律、行政法规的规定，向其所在地区的有关机关申请办理批准手续，并须持有有关机关制发的有效证件方能进入香港特别行政区。各省、自治区、直辖市的人，包括香港永久性居民在内地所生的中国籍子女，进入香港特别行政区，如未按国家有关法律、行政法规的规定办理相应的批准手续，是不合法的。
　　"
全国人民代表大会常务委员会关于《中华人民共和国香港特别行政区基本法》第二十二条第四款和第二十四条第二款第（三）项的解释,法律法规,1999年6月26日,有效,,,,二,,,"《中华人民共和国香港特别行政区基本法》第二十四条第二款前三项规定：“香港特别行政区永久性居民为：（一）在香港特别行政区成立以前或以后在香港出生的中国公民；（二）在香港特别行政区成立以前或以后在香港通常居住连续七年以上的中国公民；（三）第（一）、（二）两项所列居民在香港以外所生的中国籍子女”。其中第（三）项关于“第（一）、（二）两项所列居民在香港以外所生的中国籍子女”的规定，是指无论本人是在香港特别行政区成立以前或以后出生，在其出生时，其父母双方或一方须是符合《中华人民共和国香港特别行政区基本法》第二十四条第二款第（一）项或第（二）项规定条件的人。本解释所阐明的立法原意以及《中华人民共和国香港特别行政区基本法》第二十四条第二款其他各项的立法原意，已体现在1996年8月10日全国人民代表大会香港特别行政区筹备委员会第四次全体会议通过的《关于实施（中华人民共和国香港特别行政区基本法>第二十四条第二款的意见》中。
　　本解释公布之后，香港特别行政区法院在引用《中华人民共和国香港特别行政区基本法》有关条款时，应以本解释为准。本解释不影响香港特别行政区终审法院1999年1月29日对有关案件判决的有关诉讼当事人所获得的香港特别行政区居留权。此外，其他任何人是否符合《中华人民共和国香港特别行政区基本法》第二十四条第二款第（三）项规定的条件，均须以本解释为准。"
