法律名称,法律性质,发布时间,时效性,编,章,节,条,款,项,内容
国务院关于在我国统一实行法定计量单位的命令,行政法规,1984年2月27日,有效,,,,一,,,"我国的计量单位一律采用《中华人民共和国法定计量单位》(缚后)。
"
国务院关于在我国统一实行法定计量单位的命令,行政法规,1984年2月27日,有效,,,,二,,,"我国目前在人民生活中采用的市制计量单位，可以延续使用到一九九0年，一九九0年底以前要完成向国家法定计量单位的过渡。农田土地面积计量单位的改革，要在调查研究的基础上制订改革方案，另行公布。
"
国务院关于在我国统一实行法定计量单位的命令,行政法规,1984年2月27日,有效,,,,三,,,"计量单位的改革是一项涉及到各行各业和广大人民群諮的事，各地区、各部门务必充分重视，制定积极稳妥的实施计划，保证顺利完成。
"
国务院关于在我国统一实行法定计量单位的命令,行政法规,1984年2月27日,有效,,,,四,,,"本命令责成国家计量局负责贯彻执行。
本命令自发布之日起生效。 过去颁布的有关规定， 与本命令有抵触的，以本命令为准。
中华人民共和国法定计量单位
我国的法定计量单位(以下简称法定单位)包括：
(1)国际单位制的基本单位(见表1)；
(2)国际单位制的辅助单位(见表2)；
(3)国际单位制中具有专门名称的导出单位(见表3)；
(4)国家选定的非国际单位制单位(见表4)；
(5)由以上单位构成的组合形式的单位；
(6)由词头和以上单位所构成的十进倍数和分数单位(词头见表5)。
法定单位的定义、使用方法等，由国家计量局另行规定。
注：表1、2、3、4、5略。"
