法律名称,法律性质,发布时间,时效性,编,章,节,条,款,项,内容
基准气候站观测环境保护规定,行政法规,1985年12月18日,有效,,,,一,,,"基准气候站周围的建筑物、树木和其他遮挡物边缘与基准气候站边缘的距离，必须为遮挡物高度的十倍以远。
"
基准气候站观测环境保护规定,行政法规,1985年12月18日,有效,,,,二,,,"基准气候站周围的工程设施边缘与基准气候站边缘的距离，铁路路基必须为二百米以远(电气化铁路路基为一百米以远)；公路路基必须为三十米以远；水库等大型水体(最高水位时)必须为一百米以远。
"
基准气候站观测环境保护规定,行政法规,1985年12月18日,有效,,,,三,,,"经省级气象局认定对观测环境有害的污染源，其边缘与基准气候站边缘的距离必须为三百米以远。
城市或乡镇规划部门在制定规划时，必须遵守以上各项要求。
第四条　基准气候站站址应当长期保持稳定。确因国家重点工程建设或军事上特殊需要必须搬迁的，应经国家气象局审查同意，并按下列程序办理：
"
基准气候站观测环境保护规定,行政法规,1985年12月18日,有效,,,,一,,,"用地单位与基准气候站所在地的省级气象局协商，选好新站址；
"
基准气候站观测环境保护规定,行政法规,1985年12月18日,有效,,,,二,,,"新站址方案经所在地的市、县人民政府土地管理部门和城乡建设环境保护部门同意后，由省级气象局报国家气象局批准；
"
基准气候站观测环境保护规定,行政法规,1985年12月18日,有效,,,,三,,,"基准气候站在新、旧地址进行对比观测满一年后，用地单位方可在旧站址动工建设。
新站址的工程建设(含征地)以及搬迁所需全部费用，由用地单位承担。
第五条　对违反本规定、破坏基准气候站观测环境的，由所在地人民政府规定期限，令其拆除违法建筑、排除妨碍或恢复原状，对拒不执行的，提请人民法院强制执行；对直接责任人员，应当视其情节轻重，由其所在单位或主管部门给予批评教育或行政处分。
第六条　本规定由国家气象局负责解释。
第七条　本规定自发布之日起施行。"
