法律名称,法律性质,发布时间,时效性,编,章,节,条,款,项,内容
中华人民共和国国家货币出入境管理办法,行政法规,1993年3月1日,有效,,,,第一条,,,为了加强国家货币出入境管理，维护国家金融秩序，适应改革开放的需要，制定本办法。
中华人民共和国国家货币出入境管理办法,行政法规,1993年3月1日,有效,,,,第二条,,,本办法所称国家货币，是指中国人民银行发行的人民币。
中华人民共和国国家货币出入境管理办法,行政法规,1993年3月1日,有效,,,,第三条,,,"国家对货币出入境实行限额管理制度。
中国公民出入境、外国人入出境，每人每次携带的人民币不得超出限额。具体限额由中国人民银行规定。"
中华人民共和国国家货币出入境管理办法,行政法规,1993年3月1日,有效,,,,第四条,,,携带国家货币出入境的，应当按照国家规定向海关如实申报。
中华人民共和国国家货币出入境管理办法,行政法规,1993年3月1日,有效,,,,第五条,,,不得在邮件中夹带国家货币出入境。不得擅自运输国家货币出入境。
中华人民共和国国家货币出入境管理办法,行政法规,1993年3月1日,有效,,,,第六条,,,违反国家规定运输、携带、在邮件中夹带国家货币出入境的，由国家有关部门依法处理；情节严重，构成犯罪的，由司法机关依法追究刑事责任。
中华人民共和国国家货币出入境管理办法,行政法规,1993年3月1日,有效,,,,第七条,,,本办法由中国人民银行负责解释。
中华人民共和国国家货币出入境管理办法,行政法规,1993年3月1日,有效,,,,第八条,,,本办法自一九九三年三月一日起施行。一九五一年三月六日中央人民政府政务院公布的《中华人民共和国禁止国家货币出入国境办法》同时废止。
