法律名称,法律性质,发布时间,时效性,编,章,节,条,款,项,内容
最高人民法院、最高人民检察院关于对死刑判决提出上诉的被告人在上诉期满后宣判前提出撤回上诉人民法院是否准许的批复,司法解释,2010年9月1日,有效,,,,,,,"各省、自治区、直辖市高级人民法院、人民检察院，解放军军事法院、军事检察院，新疆维吾尔自治区高级人民法院生产建设兵团分院、新疆生产建设兵团人民检察院：
近来，有的高级人民法院、省级人民检察院请示，对"
最高人民法院、最高人民检察院关于对死刑判决提出上诉的被告人在上诉期满后宣判前提出撤回上诉人民法院是否准许的批复,司法解释,2010年9月1日,有效,,,,,,,"各省、自治区、直辖市高级人民法院、人民检察院，解放军军事法院、军事检察院，新疆维吾尔自治区高级人民法院生产建设兵团分院、新疆生产建设兵团人民检察院：
近来，有的高级人民法院、省级人民检察院请示，对第一审被判处死刑立即执行的被告人提出上诉后，在第二审开庭审理中又要求撤回上诉的，是否允许撤回上诉。经研究，批复如下：
第一审被判处死刑立即执行的被告人提出上诉，在上诉期满后第二审开庭以前申请撤回上诉的，依照《最高人民法院　最高人民检察院关于死刑第二审案件开庭审理程序若干问题的规定（试行）》第四条的规定处理。在第二审开庭以后宣告裁判前申请撤回上诉的，第二审人民法院应当不准许撤回上诉，继续按照上诉程序审理。
最高人民法院、最高人民检察院以前发布的司法解释、规范性文件与本批复不一致的，以本批复为准。"
