法律名称,法律性质,发布时间,时效性,编,章,节,条,款,项,内容
最高人民法院关于对受委托管理、经营国有财产人员挪用国有资金行为如何定罪问题的批复,司法解释,2000年2月24日,有效,,,,,,,"江苏省高级人民法院：
你院苏高法〔1999〕94号《关于受委托管理、经营国有财产的人员能否作为挪用公款罪主体问题的请示》收悉。经研究，答复如下：
对于受国家机关、国有公司、企业、事业单位、人民团体委托，管理、经营国有财产的非国家工作人员，利用职务上的便利，挪用国有资金归个人使用构成犯罪的，应当依照刑法第二百七十二条"
最高人民法院关于对受委托管理、经营国有财产人员挪用国有资金行为如何定罪问题的批复,司法解释,2000年2月24日,有效,,,,,,,"江苏省高级人民法院：
你院苏高法〔1999〕94号《关于受委托管理、经营国有财产的人员能否作为挪用公款罪主体问题的请示》收悉。经研究，答复如下：
对于受国家机关、国有公司、企业、事业单位、人民团体委托，管理、经营国有财产的非国家工作人员，利用职务上的便利，挪用国有资金归个人使用构成犯罪的，应当依照刑法第二百七十二条第一款的规定定罪处罚。
此复。"
