法律名称,法律性质,发布时间,时效性,编,章,节,条,款,项,内容
最高人民法院关于人民法院审理事业单位人事争议案件若干问题的规定,司法解释,2003年9月5日,有效,,,,,,,为了正确审理事业单位与其工作人员之间的人事争议案件，根据《中华人民共和国劳动法》的规定，现对有关问题规定如下：
最高人民法院关于人民法院审理事业单位人事争议案件若干问题的规定,司法解释,2003年9月5日,有效,,,,第一条,,,事业单位与其工作人员之间因辞职、辞退及履行聘用合同所发生的争议，适用《中华人民共和国劳动法》的规定处理。
最高人民法院关于人民法院审理事业单位人事争议案件若干问题的规定,司法解释,2003年9月5日,有效,,,,第二条,,,当事人对依照国家有关规定设立的人事争议仲裁机构所作的人事争议仲裁裁决不服，自收到仲裁裁决之日起十五日内向人民法院提起诉讼的，人民法院应当依法受理。一方当事人在法定期间内不起诉又不履行仲裁裁决，另一方当事人向人民法院申请执行的，人民法院应当依法执行。
最高人民法院关于人民法院审理事业单位人事争议案件若干问题的规定,司法解释,2003年9月5日,有效,,,,第三条,,,本规定所称人事争议是指事业单位与其工作人员之间因辞职、辞退及履行聘用合同所发生的争议。
