法律名称,法律性质,发布时间,时效性,编,章,节,条,款,项,内容
最高人民法院、最高人民检察院关于办理侵犯著作权刑事案件中涉及录音录像制品有关问题的批复,司法解释,2005年10月18日,有效,,,,,,,"各省、自治区、直辖市高级人民法院、人民检察院，解放军军事法院、军事检察院，新疆维吾尔自治区高级人民法院生产建设兵团分院、新疆生产建设兵团人民检察院：
《最高人民法院、最高人民检察院关于办理侵犯知识产权刑事案件具体应用法律若干问题的解释》发布以后，部分高级人民法院、省级人民检察院就关于办理侵犯著作权刑事案件中涉及录音录像制品的有关问题提出请示。经研究，批复如下：
以营利为目的，未经录音录像制作者许可，复制发行其制作的录音录像制品的行为，复制品的数量标准分别适用《最高人民法院、最高人民检察院关于办理侵犯知识产权刑事案件具体应用法律若干问题的解释》第五条"
最高人民法院、最高人民检察院关于办理侵犯著作权刑事案件中涉及录音录像制品有关问题的批复,司法解释,2005年10月18日,有效,,,,,,,"各省、自治区、直辖市高级人民法院、人民检察院，解放军军事法院、军事检察院，新疆维吾尔自治区高级人民法院生产建设兵团分院、新疆生产建设兵团人民检察院：
《最高人民法院、最高人民检察院关于办理侵犯知识产权刑事案件具体应用法律若干问题的解释》发布以后，部分高级人民法院、省级人民检察院就关于办理侵犯著作权刑事案件中涉及录音录像制品的有关问题提出请示。经研究，批复如下：
以营利为目的，未经录音录像制作者许可，复制发行其制作的录音录像制品的行为，复制品的数量标准分别适用《最高人民法院、最高人民检察院关于办理侵犯知识产权刑事案件具体应用法律若干问题的解释》第五条第一款第（二）项、第二款第（二）项的规定。
未经录音录像制作者许可，通过信息网络传播其制作的录音录像制品的行为，应当视为刑法第二百一十七条第（三）项规定的“复制发行”。
此复。"
