法律名称,法律性质,发布时间,时效性,编,章,节,条,款,项,内容
全国人民代表大会常务委员会关于香港特别行政区立法会议员资格问题的决定,法律法规,2020年11月11日,空,,,,一,,,"香港特别行政区立法会议员，因宣扬或者支持“港独”主张、拒绝承认国家对香港拥有并行使主权、寻求外国或者境外势力干预香港特别行政区事务，或者具有其他危害国家安全等行为，不符合拥护中华人民共和国香港特别行政区基本法、效忠中华人民共和国香港特别行政区的法定要求和条件，一经依法认定，即时丧失立法会议员的资格。
"
全国人民代表大会常务委员会关于香港特别行政区立法会议员资格问题的决定,法律法规,2020年11月11日,空,,,,二,,,"本决定适用于在原定于2020年9月6日举行的香港特别行政区第七届立法会选举提名期间，因上述情形被香港特别行政区依法裁定提名无效的第六届立法会议员。
今后参选或者出任立法会议员的，如遇有上述情形，均适用本决定。
"
全国人民代表大会常务委员会关于香港特别行政区立法会议员资格问题的决定,法律法规,2020年11月11日,空,,,,三,,,依据上述规定丧失立法会议员资格的，由香港特别行政区政府宣布。
