法律名称,法律性质,发布时间,时效性,编,章,节,条,款,项,内容
全国人民代表大会常务委员会关于香港特别行政区行政长官普选问题和2016年立法会产生办法的决定,法律法规,2014年8月31日,空,,,,一,,,"从2017年开始，香港特别行政区行政长官选举可以实行由普选产生的办法。
"
全国人民代表大会常务委员会关于香港特别行政区行政长官普选问题和2016年立法会产生办法的决定,法律法规,2014年8月31日,空,,,,二,,,"香港特别行政区行政长官选举实行由普选产生的办法时：
（一）须组成一个有广泛代表性的提名委员会。提名委员会的人数、构成和委员产生办法按照第四任行政长官选举委员会的人数、构成和委员产生办法而规定。
（二）提名委员会按民主程序提名产生二至三名行政长官候选人。每名候选人均须获得提名委员会全体委员半数以上的支持。
（三）香港特别行政区合资格选民均有行政长官选举权，依法从行政长官候选人中选出一名行政长官人选。
（四）行政长官人选经普选产生后，由中央人民政府任命。
"
全国人民代表大会常务委员会关于香港特别行政区行政长官普选问题和2016年立法会产生办法的决定,法律法规,2014年8月31日,空,,,,三,,,"行政长官普选的具体办法依照法定程序通过修改《中华人民共和国香港特别行政区基本法》附件一《香港特别行政区行政长官的产生办法》予以规定。修改法案及其修正案应由香港特别行政区政府根据香港基本法和本决定的规定，向香港特别行政区立法会提出，经立法会全体议员三分之二多数通过，行政长官同意，报全国人民代表大会常务委员会批准。
"
全国人民代表大会常务委员会关于香港特别行政区行政长官普选问题和2016年立法会产生办法的决定,法律法规,2014年8月31日,空,,,,四,,,"如行政长官普选的具体办法未能经法定程序获得通过，行政长官的选举继续适用上一任行政长官的产生办法。
"
全国人民代表大会常务委员会关于香港特别行政区行政长官普选问题和2016年立法会产生办法的决定,法律法规,2014年8月31日,空,,,,五,,,"香港基本法附件二关于立法会产生办法和表决程序的现行规定不作修改，2016年香港特别行政区第六届立法会产生办法和表决程序，继续适用第五届立法会产生办法和法案、议案表决程序。在行政长官由普选产生以后，香港特别行政区立法会的选举可以实行全部议员由普选产生的办法。在立法会实行普选前的适当时候，由普选产生的行政长官按照香港基本法的有关规定和《全国人民代表大会常务委员会关于〈中华人民共和国香港特别行政区基本法〉附件一第七条和附件二第三条的解释》，就立法会产生办法的修改问题向全国人民代表大会常务委员会提出报告，由全国人民代表大会常务委员会确定。
会议强调，坚定不移地贯彻落实“一国两制”、“港人治港”、高度自治方针政策，严格按照香港基本法办事，稳步推进2017年行政长官由普选产生，是中央的一贯立场。希望香港特别行政区政府和香港社会各界依照香港基本法和本决定的规定，共同努力，达至行政长官由普选产生的目标。"
