法律名称,法律性质,发布时间,时效性,编,章,节,条,款,项,内容
全国人民代表大会关于完善香港特别行政区选举制度的决定,法律法规,2021年3月11日,空,,,,一,,,"完善香港特别行政区选举制度，必须全面准确贯彻落实“一国两制”、“港人治港”、高度自治的方针，维护《中华人民共和国宪法》和《中华人民共和国香港特别行政区基本法》确定的香港特别行政区宪制秩序，确保以爱国者为主体的“港人治港”，切实提高香港特别行政区治理效能，保障香港特别行政区永久性居民的选举权和被选举权。
"
全国人民代表大会关于完善香港特别行政区选举制度的决定,法律法规,2021年3月11日,空,,,,二,,,"香港特别行政区设立一个具有广泛代表性、符合香港特别行政区实际情况、体现社会整体利益的选举委员会。选举委员会负责选举行政长官候任人、立法会部分议员，以及提名行政长官候选人、立法会议员候选人等事宜。
选举委员会由工商、金融界，专业界，基层、劳工和宗教等界，立法会议员、地区组织代表等界，香港特别行政区全国人大代表、香港特别行政区全国政协委员和有关全国性团体香港成员的代表界等五个界别共1500名委员组成。
"
全国人民代表大会关于完善香港特别行政区选举制度的决定,法律法规,2021年3月11日,空,,,,三,,,"香港特别行政区行政长官由选举委员会选出，由中央人民政府任命。
行政长官候选人须获得选举委员会不少于188名委员联合提名，且上述五个界别中每个界别参与提名的委员不少于15名。选举委员会以一人一票无记名投票选出行政长官候任人，行政长官候任人须获得选举委员会全体委员过半数支持。
"
全国人民代表大会关于完善香港特别行政区选举制度的决定,法律法规,2021年3月11日,空,,,,四,,,"香港特别行政区立法会议员每届90人。通过选举委员会选举、功能团体选举、分区直接选举三种方式分别选举产生。
"
全国人民代表大会关于完善香港特别行政区选举制度的决定,法律法规,2021年3月11日,空,,,,五,,,"设立香港特别行政区候选人资格审查委员会，负责审查并确认选举委员会委员候选人、行政长官候选人和立法会议员候选人的资格。香港特别行政区应当健全和完善有关资格审查制度机制，确保候选人资格符合《中华人民共和国香港特别行政区基本法》、《中华人民共和国香港特别行政区维护国家安全法》、全国人民代表大会常务委员会关于《中华人民共和国香港特别行政区基本法》第一百零四条的解释和关于香港特别行政区立法会议员资格问题的决定以及香港特别行政区本地有关法律的规定。
"
全国人民代表大会关于完善香港特别行政区选举制度的决定,法律法规,2021年3月11日,空,,,,六,,,"授权全国人民代表大会常务委员会根据本决定修改《中华人民共和国香港特别行政区基本法》附件一《香港特别行政区行政长官的产生办法》和附件二《香港特别行政区立法会的产生办法和表决程序》。
"
全国人民代表大会关于完善香港特别行政区选举制度的决定,法律法规,2021年3月11日,空,,,,七,,,"香港特别行政区应当依照本决定和全国人民代表大会常务委员会修改后的《中华人民共和国香港特别行政区基本法》附件一《香港特别行政区行政长官的产生办法》和附件二《香港特别行政区立法会的产生办法和表决程序》，修改香港特别行政区本地有关法律，依法组织、规管相关选举活动。
"
全国人民代表大会关于完善香港特别行政区选举制度的决定,法律法规,2021年3月11日,空,,,,八,,,"香港特别行政区行政长官应当就香港特别行政区选举制度安排和选举组织等有关重要情况，及时向中央人民政府提交报告。
"
全国人民代表大会关于完善香港特别行政区选举制度的决定,法律法规,2021年3月11日,空,,,,九,,,本决定自公布之日起施行。
