法律名称,法律性质,发布时间,时效性,编,章,节,条,款,项,内容
全国人民代表大会常务委员会关于特赦部分服刑罪犯的决定,法律法规,2015年8月29日,空,,,,一,,,"参加过中国人民抗日战争、中国人民解放战争的；
"
全国人民代表大会常务委员会关于特赦部分服刑罪犯的决定,法律法规,2015年8月29日,空,,,,二,,,"中华人民共和国成立以后，参加过保卫国家主权、安全和领土完整对外作战的，但犯贪污受贿犯罪，故意杀人、强奸、抢劫、绑架、放火、爆炸、投放危险物质或者有组织的暴力性犯罪，黑社会性质的组织犯罪，危害国家安全犯罪，恐怖活动犯罪的，有组织犯罪的主犯以及累犯除外；
"
全国人民代表大会常务委员会关于特赦部分服刑罪犯的决定,法律法规,2015年8月29日,空,,,,三,,,"年满七十五周岁、身体严重残疾且生活不能自理的；
"
全国人民代表大会常务委员会关于特赦部分服刑罪犯的决定,法律法规,2015年8月29日,空,,,,四,,,"犯罪的时候不满十八周岁，被判处三年以下有期徒刑或者剩余刑期在一年以下的，但犯故意杀人、强奸等严重暴力性犯罪，恐怖活动犯罪，贩卖毒品犯罪的除外。
对本决定施行之日符合上述条件的服刑罪犯，经人民法院依法作出裁定后，予以释放。
本决定自2015年8月29日起施行。"
