法律名称,法律性质,发布时间,时效性,编,章,节,条,款,项,内容
全国人民代表大会常务委员会关于设立上海金融法院的决定,法律法规,2018年4月27日,空,,,,一,,,"设立上海金融法院。
上海金融法院审判庭的设置，由最高人民法院根据金融案件的类型和数量决定。
"
全国人民代表大会常务委员会关于设立上海金融法院的决定,法律法规,2018年4月27日,空,,,,二,,,"上海金融法院专门管辖上海金融法院设立之前由上海市的中级人民法院管辖的金融民商事案件和涉金融行政案件。管辖案件的具体范围由最高人民法院确定。
上海金融法院第一审判决和裁定的上诉案件，由上海市高级人民法院审理。
"
全国人民代表大会常务委员会关于设立上海金融法院的决定,法律法规,2018年4月27日,空,,,,三,,,"上海金融法院对上海市人民代表大会常务委员会负责并报告工作。
上海金融法院审判工作受最高人民法院和上海市高级人民法院监督。上海金融法院依法接受人民检察院法律监督。
"
全国人民代表大会常务委员会关于设立上海金融法院的决定,法律法规,2018年4月27日,空,,,,四,,,"上海金融法院院长由上海市人民代表大会常务委员会主任会议提请本级人民代表大会常务委员会任免。
上海金融法院副院长、审判委员会委员、庭长、副庭长、审判员由上海金融法院院长提请上海市人民代表大会常务委员会任免。
"
全国人民代表大会常务委员会关于设立上海金融法院的决定,法律法规,2018年4月27日,空,,,,五,,,本决定自2018年4月28日起施行。
