法律名称,法律性质,发布时间,时效性,编,章,节,条,款,项,内容
全国人民代表大会常务委员会关于国家监察委员会制定监察法规的决定,法律法规,2019年10月26日,空,,,,一,,,"国家监察委员会根据宪法和法律，制定监察法规。
监察法规可以就下列事项作出规定：
（一）为执行法律的规定需要制定监察法规的事项；
（二）为履行领导地方各级监察委员会工作的职责需要制定监察法规的事项。
监察法规不得与宪法、法律相抵触。
"
全国人民代表大会常务委员会关于国家监察委员会制定监察法规的决定,法律法规,2019年10月26日,空,,,,二,,,"监察法规应当经国家监察委员会全体会议决定，由国家监察委员会发布公告予以公布。
"
全国人民代表大会常务委员会关于国家监察委员会制定监察法规的决定,法律法规,2019年10月26日,空,,,,三,,,"监察法规应当在公布后的三十日内报全国人民代表大会常务委员会备案。
全国人民代表大会常务委员会有权撤销同宪法和法律相抵触的监察法规。
"
全国人民代表大会常务委员会关于国家监察委员会制定监察法规的决定,法律法规,2019年10月26日,空,,,,四,,,本决定自2019年10月27日起施行。
