法律名称,法律性质,发布时间,时效性,编,章,节,条,款,项,内容
最高人民检察院关于废止部分司法解释和规范性文件的决定,司法解释,2002年2月22日,空,,,,,,,"高检发释字〔2002〕2号

为了适应我国加入世界贸易组织的进程，实施依法治国的方略，保证国家法律的统一正确实施，最高人民检察院对司法解释和规范性文件进行了集中清理。现决定："
最高人民检察院关于废止部分司法解释和规范性文件的决定,司法解释,2002年2月22日,空,,,,一,,,"对最高人民检察院单独制发的98件司法解释和规范性文件予以废止（见附件一）。
"
最高人民检察院关于废止部分司法解释和规范性文件的决定,司法解释,2002年2月22日,空,,,,二,,,"经征得有关部门同意，对由最高人民检察院主办、与有关部门联合制发的29件司法解释和规范性文件予以废止（见附件二）。
"
最高人民检察院关于废止部分司法解释和规范性文件的决定,司法解释,2002年2月22日,空,,,,三,,,"上述司法解释和规范性文件自公布废止之日起不再适用，在此之前依据上述司法解释和规范性文件办结的有关案件除依法需要纠正的外，不作变动。
"
最高人民检察院关于废止部分司法解释和规范性文件的决定,司法解释,2002年2月22日,空,,,,四,,,"为便于工作和查询，对最高人民检察院在相关文件中已明确规定废止的13件司法解释和规范性文件，予以统一公布（见附件三）。
"
最高人民检察院关于废止部分司法解释和规范性文件的决定,司法解释,2002年2月22日,空,,,,五,,,"最高人民检察院将继续进行司法解释和规范性文件的清理工作，陆续公布清理结果，并根据工作需要，及时制定新的司法解释和规范性文件。

附件一

最高人民检察院决定废止的单独制发的
司法解释和规范性文件目录


附件二

最高人民检察院决定废止的有关部门
联合制发的司法解释和规范性文件目录



附件三

最高人民检察院有关文件中已明确
规定废止的司法解释和规范性文件目录"
